Name,Yelp,Website,Phone,Address,Review,Average Price,Minimum Price,Maximum Price,Popular_Dish1,Popular_Dish2,Popular_Dish3
Thai Gulf Restaurant,https://www.yelp.com/adredir?ad_business_id=kvNd1Ha_7nw1tP5s8ApQkg&campaign_id=Dz4HK5n_gd65uZFaEfCIlA&click_origin=search_results&placement=vertical_0&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthai-gulf-restaurant-huntington-beach-2&request_id=11b2d6d81da240a3&signature=e2c5c77cd7eed77fa8e6881e1823c51d027e6c1ef4c9a030e5e62f2e28a16418&slot=0,thaigulfhb.com,(714) 378-6003,"19072 Beach BlvdSte AHuntington Beach, CA 92648",1827 reviews,9.92,2.0,18.0,Pad Thai,Egg Roll,Dinner Special
Thai Chaiyo Tustin,https://www.yelp.com/adredir?ad_business_id=bkqP2-rUhhofMf-xoOi2Jw&campaign_id=vlcK6QzhyXUTpy5ICx9H0g&click_origin=search_results&placement=vertical_0&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fthai-chaiyo-tustin-tustin&request_id=11b2d6d81da240a3&signature=a69247e3c6ee3ae565e5c3e830310a9a096bf15bc7970d0a88f86171e031e436&slot=1,thaichaiyotogo.com,(714) 656-2870,"17602 E 17th StSte 104Tustin, CA 92780",961 reviews,,,,Pad Thai,Pad See Ew,Yellow Curry
Double Delicious Thai Cuisine,https://www.yelp.com/biz/double-delicious-thai-cuisine-fountain-valley?osq=Best+Thai+Food,orderdoubledeliciousthai.com,(714) 277-3639,"16076 S Harbor BlvdFountain Valley, CA 92708",723 reviews,9.82,0.0,16.95,Pad Thai,Pad See Ew,Crying Tiger
Bangkok Kitchen,https://www.yelp.com/biz/bangkok-kitchen-santa-ana-2?osq=Best+Thai+Food,bkboba.com,(657) 235-8055,"136 W MacArthur BlvdSanta Ana, CA 92707",322 reviews,,,,Pad Thai,Pad See Ew,Green Curry
Tuk Tuk Thai Street Food,https://www.yelp.com/biz/tuk-tuk-thai-street-food-santa-ana?osq=Best+Thai+Food,tuktukthai.us,(714) 760-4660,"201 E 4th StSte 139Santa Ana, CA 92701",135 reviews,11.58,1.75,20.7,Crab Fried Rice,Chicken Pad Thai,Shrimp Fried Rice
Fa-Sai Thai,https://www.yelp.com/biz/fa-sai-thai-garden-grove?osq=Best+Thai+Food,,(714) 371-0175,"12910 Harbor BlvdGarden Grove, CA 92840",1007 reviews,8.26,1.5,15.0,Pad Thai,Yellow Curry,Tom Yum Soup
Hanuman Thai Eatery,https://www.yelp.com/biz/hanuman-thai-eatery-costa-mesa?osq=Best+Thai+Food,hanumanthaieatery.com,(657) 699-3123,"355 Bristol StSte UCosta Mesa, CA 92626",976 reviews,,,,Pad See Ew,Fried Chicken,Khao Soi
Thai Famous Cuisine,https://www.yelp.com/biz/thai-famous-cuisine-garden-grove-3?osq=Best+Thai+Food,thai-famous-cuisine.local-cafe…,(714) 534-3316,"11891 Euclid StGarden Grove, CA 92840",2520 reviews,14.89,0.0,21.99,Papaya Salad,Pad Thai Noodles,Pad See Ew Noodles
Khaosan Thai,https://www.yelp.com/biz/khaosan-thai-santa-ana-9?osq=Best+Thai+Food,khaosanthai.thaifoodnetwork.co…,(714) 760-4080,"3520 W 1st StSanta Ana, CA 92703",183 reviews,11.01,1.0,17.0,Pad Thai,Pad See Ew,Pineapple Fried Rice
Suree Thai,https://www.yelp.com/biz/suree-thai-santa-ana?osq=Best+Thai+Food,sureethai.com,(949) 994-1405,"2509 S BroadwaySanta Ana, CA 92707",22 reviews,12.36,2.95,24.95,Yellow Curry With Rice,Pad Thai,Panang Curry With Rice
Lanta Thai Fusion,https://www.yelp.com/biz/lanta-thai-fusion-orange?osq=Best+Thai+Food,lantathaifusionoc.com,(714) 532-4922,"724 E Katella AveOrange, CA 92867",1106 reviews,12.45,2.75,22.95,Pad Thai,Pad See Ew,Yellow Curry
Spicy Noodle House,https://www.yelp.com/biz/spicy-noodle-house-santa-ana?osq=Best+Thai+Food,,(714) 957-2818,"3314 S Bristol StSanta Ana, CA 92704",1133 reviews,11.29,2.5,16.49,Beef Garlic Noodle,Orange Chicken,Spicy Noodle Shrimp
Double Delicious Thai Cuisine,https://www.yelp.com/adredir?ad_business_id=BkDSES5Rmn6FmUC25EVn-Q&campaign_id=oDvDkkeNZRRToJN3BFVJdw&click_origin=search_results&placement=below_search&placement_slot=2&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdouble-delicious-thai-cuisine-fountain-valley&request_id=11b2d6d81da240a3&signature=3a89a49ee827200dfb8bb6369ddf9bfd7f5fefe56ccd81914b63390fe0b683bd&slot=0,orderdoubledeliciousthai.com,(714) 277-3639,"16076 S Harbor BlvdFountain Valley, CA 92708",723 reviews,9.82,0.0,16.95,Pad Thai,Pad See Ew,Crying Tiger
